2021-06-07 23:00:44,004 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- '2. ΠΟΙΟΤΙΚΗ ΚΑΙ ΠΟΣΟΤΙΚΗ ΣΥΝΘΕΣΗ' | Qrd txt :- '2. ΠΟΙΟΤΙΚΗ ΚΑΙ ΠΟΣΟΤΙΚΗ ΣΥΝΘΕΣΗ' | Matched :- 'True'
2021-06-07 23:00:44,012 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16004' | prevHeadingCurrId :- '16003' | prevHeadingFoundId :- '16003'
2021-06-07 23:00:48,405 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- '3. ΦΑΡΜΑΚΟΤΕΧΝΙΚΗ ΜΟΡΦΗ' | Qrd txt :- '3. ΦΑΡΜΑΚΟΤΕΧΝΙΚΗ ΜΟΡΦΗ' | Matched :- 'True'
2021-06-07 23:00:48,414 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Flow Is Broken | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16008' | prevHeadingCurrId :- '' | prevHeadingFoundId :- '16004'
2021-06-07 23:00:48,420 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16008' | prevHeadingCurrId :- '16004' | prevHeadingFoundId :- '16004'
2021-06-07 23:00:51,107 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- '4. ΚΛΙΝΙΚΕΣ ΠΛΗΡΟΦΟΡΙΕΣ' | Qrd txt :- '4. ΚΛΙΝΙΚΕΣ ΠΛΗΡΟΦΟΡΙΕΣ' | Matched :- 'True'
2021-06-07 23:00:51,115 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16009' | prevHeadingCurrId :- '16008' | prevHeadingFoundId :- '16008'
2021-06-07 23:00:51,233 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- '4.1 Θεραπευτικές ενδείξεις' | Qrd txt :- '4.1 Θεραπευτικές ενδείξεις' | Matched :- 'True'
2021-06-07 23:00:51,241 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16010' | prevHeadingCurrId :- '16009' | prevHeadingFoundId :- '16009'
2021-06-07 23:00:53,746 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- '4.2 Δοσολογία και τρόπος χορήγησης' | Qrd txt :- '4.2 Δοσολογία και τρόπος χορήγησης' | Matched :- 'True'
2021-06-07 23:00:53,758 : Heading Extraction gonal-f_clean_SmPC.json_6 : Validation Passed | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | currHeadId :- '16011' | prevHeadingCurrId :- '16010' | prevHeadingFoundId :- '16010'
2021-06-07 23:00:54,268 : Heading Extraction gonal-f_clean_SmPC.json_6 : Match Failed In Lowercase : <=7|277.78|(42, 100, 90)|0.755| | H | CAP |  el | 0 | gonal-f_clean_SmPC.json | Doc txt :- 'Δοσολογία' | Qrd txt :- '4.2 Δοσολογία και τρόπος χορήγησης' | Matched :- 'False'
