StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
3: Document Annotation,0.0002 Min,0.154987 MB,0.166402 MB,47.0%
3: Content Extraction,0.0011 Min,0.252455 MB,1.092264 MB,47.0%
3: Generate XML,0.0036 Min,1.554375 MB,2.907849 MB,47.0%
3: Submit FHIR Msg,0.1364 Min,0.214466 MB,1.16529 MB,47.2%
3: Update/Add List Bundle,0.0869 Min,0.215614 MB,0.246556 MB,47.0%
3: Completed,0.0 Min,0.149026 MB,0.151371 MB,47.0%
Final Metrics,3.9942 Min,0.0 MB,9.910449 MB,47.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0926 Min,5.566668 MB,10.323676 MB,46.2%
Split Json,0.0067 Min,0.242446 MB,9.335692 MB,46.2%
0: Heading Extraction,0.858 Min,1.89306 MB,4.545387 MB,46.2%
0: Document Annotation,0.016 Min,0.159833 MB,0.19261 MB,46.2%
0: Content Extraction,0.0011 Min,0.815465 MB,4.068359 MB,46.2%
0: Generate XML,0.0045 Min,2.758336 MB,5.309273 MB,46.2%
0: Submit FHIR Msg,0.0704 Min,0.194359 MB,1.974788 MB,46.2%
0: Update/Add List Bundle,0.0382 Min,0.196403 MB,0.229718 MB,46.2%
1: Heading Extraction,0.2656 Min,0.534729 MB,3.060275 MB,46.2%
1: Document Annotation,0.0002 Min,0.156195 MB,0.158228 MB,46.2%
1: Content Extraction,0.0007 Min,0.157849 MB,0.621869 MB,46.2%
1: Generate XML,0.0021 Min,0.863313 MB,1.929685 MB,46.2%
1: Submit FHIR Msg,0.042 Min,0.193858 MB,0.902194 MB,46.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1154 Min,5.358109 MB,9.966821 MB,47.8%
Split Json,0.0078 Min,0.106207 MB,9.335403 MB,47.8%
0: Heading Extraction,1.137 Min,2.145784 MB,4.545408 MB,47.8%
0: Document Annotation,0.0211 Min,0.02447 MB,0.224236 MB,47.8%
0: Content Extraction,0.0013 Min,0.822292 MB,4.068703 MB,47.8%
0: Generate XML,0.0057 Min,2.772271 MB,5.323208 MB,47.8%
0: Submit FHIR Msg,0.0859 Min,0.060074 MB,1.987335 MB,47.8%
0: Update/Add List Bundle,0.06 Min,0.238976 MB,0.346922 MB,47.9%
1: Heading Extraction,0.2699 Min,0.587685 MB,3.05488 MB,47.8%
1: Document Annotation,0.0002 Min,0.155283 MB,0.167936 MB,47.8%
1: Content Extraction,0.0008 Min,0.158089 MB,0.621525 MB,47.8%
1: Generate XML,0.0025 Min,0.841507 MB,1.907879 MB,47.8%
1: Submit FHIR Msg,0.0387 Min,0.190265 MB,0.810378 MB,47.8%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1088 Min,5.840196 MB,10.596242 MB,48.0%
Split Json,0.0084 Min,0.240568 MB,9.332344 MB,48.0%
0: Heading Extraction,1.3563 Min,1.893996 MB,4.395787 MB,48.0%
0: Document Annotation,0.028 Min,0.161824 MB,0.196432 MB,48.0%
0: Content Extraction,0.0018 Min,0.670759 MB,4.068127 MB,48.0%
0: Generate XML,0.0073 Min,2.769548 MB,5.320485 MB,48.0%
0: Submit FHIR Msg,0.0521 Min,0.066342 MB,2.137673 MB,48.0%
0: Update/Add List Bundle,0.0442 Min,0.213052 MB,0.268857 MB,48.0%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1157 Min,9.186866 MB,13.941586 MB,48.3%
