StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
1: Content Extraction,0.0009 Min,0.219701 MB,0.443073 MB,47.9%
1: Generate XML,0.0022 Min,0.518124 MB,0.786789 MB,47.9%
1: Submit FHIR Msg,0.0181 Min,0.186556 MB,0.330971 MB,47.9%
1: Update/Add List Bundle,0.0117 Min,0.194867 MB,0.223976 MB,47.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2711 Min,15.037401 MB,24.11908 MB,48.2%
Split Json,0.0194 Min,0.25998 MB,15.837743 MB,48.2%
1: Heading Extraction,0.0787 Min,0.235974 MB,2.985588 MB,48.2%
1: Document Annotation,0.0003 Min,0.154306 MB,0.164401 MB,48.2%
1: Content Extraction,0.0007 Min,0.074986 MB,0.444273 MB,48.2%
1: Generate XML,0.0025 Min,0.475809 MB,0.744416 MB,48.2%
1: Submit FHIR Msg,0.0202 Min,0.187505 MB,0.345659 MB,48.2%
3: Completed,0.0001 Min,0.025416 MB,0.175331 MB,48.2%
Final Metrics,0.3931 Min,0.0 MB,24.11908 MB,48.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3637 Min,13.937452 MB,22.956838 MB,48.1%
Split Json,0.0268 Min,0.244164 MB,15.810219 MB,48.1%
0: Heading Extraction,5.9288 Min,4.018216 MB,7.516565 MB,48.5%
0: Document Annotation,0.0002 Min,0.010431 MB,0.21456 MB,48.4%
0: Content Extraction,0.0058 Min,1.254796 MB,7.560557 MB,48.4%
0: Generate XML,0.0145 Min,6.064585 MB,8.968993 MB,48.5%
0: Submit FHIR Msg,0.0492 Min,0.056129 MB,2.345241 MB,48.5%
1: Heading Extraction,0.0645 Min,0.247051 MB,3.013823 MB,48.5%
1: Document Annotation,0.0003 Min,0.15387 MB,0.164635 MB,48.4%
1: Content Extraction,0.0006 Min,0.073888 MB,0.444148 MB,48.4%
1: Generate XML,0.0017 Min,0.408617 MB,0.680979 MB,48.4%
1: Submit FHIR Msg,0.0178 Min,0.182214 MB,0.340318 MB,48.5%
2: Heading Extraction,1.1534 Min,0.991558 MB,3.493006 MB,48.5%
2: Document Annotation,0.02 Min,0.159359 MB,0.207947 MB,48.5%
2: Content Extraction,0.01 Min,0.465438 MB,1.824285 MB,48.5%
2: Generate XML,0.005 Min,1.650544 MB,2.612763 MB,48.5%
2: Submit FHIR Msg,0.0308 Min,0.199281 MB,0.815425 MB,48.5%
